ID,Class,TotalDistance,AverageSpeed,MaxSpeed,TimeSpan,CourtCoverage,InBoundsRatio,DataPoints,ValidMovements
0,Ball,4.926764872820156,14.307854743915223,60.4192724672511,1.1146496815286624,1.3040117133346925,1.0,16,15
1,Player,2.058055017979477,7.15823197638154,20.450518477272304,1.0350318471337578,0.9913857890273609,1.0,27,26
2,Player,1.545557221965081,5.3756857960287014,8.368624675923733,1.0350318471337578,0.808442565883505,1.0,27,26
3,Player,0.7097977749670442,2.4687858609930675,4.656303554435797,1.0350318471337578,0.03475500342582331,1.0,27,26
4,Player,0.02488782837699904,0.08656369599187605,0.28570600385079586,1.0350318471337578,0.0002122286807167273,1.0,27,26
5,Player,0.020835026526388464,0.07246742764747546,0.16348942330434663,1.0350318471337578,1.8557787992017596e-05,1.0,27,26
6,Player,0.0017356888184276473,0.006036992739540346,0.020852561168700455,1.0350318471337578,3.291932379460633e-07,1.0,27,26
7,Player,0.5548526168742973,1.9298627634298635,5.956626069923913,1.0350318471337578,0.028075008266151443,1.0,27,26
8,Player,0.09916963745591191,0.34492725593896256,1.054937331749992,1.0350318471337578,0.0007746859882505468,1.0,27,26
10,Player,0.036322144163024934,0.12633400542117965,0.36260151247646255,1.0350318471337578,0.00012968446359909588,1.0,27,26
11,Player,0.14164867460309152,0.49267588237333737,1.9121834407363243,1.0350318471337578,0.0016176649841085193,1.0,27,26
13,Player,0.05106683831658873,0.1776183201017597,0.6376499928590649,1.0350318471337578,0.00019181141348630142,1.0,27,26
14,Player,0.05249270246372362,0.24218012854669052,0.8370558713162448,1.0350318471337578,2.1709090562802516e-16,1.0,15,14
15,Player,0.13041859627338298,0.4536159422382528,0.6746334687768454,1.0350318471337578,0.005791053110668848,1.0,27,26
16,Player,0.0943367956047113,0.32811788846635587,0.5693996499811577,1.0350318471337578,0.00209916251818335,1.0,27,26
63,Player,0.010543734042128416,0.0366727291114522,0.05870720785472117,1.0350318471337578,1.1749053359295092e-05,1.0,27,26
69,Player,0.08524425407871242,0.45345931675565415,1.1118676385249846,0.6767515923566879,0.0021488164091811213,1.0,18,17
12,Player,2.34258847482203e-14,4.236899219102117e-13,6.623336331583408e-13,0.19904458598726113,5.679798517591285e-29,1.0,6,5
156,Player,0.7578512861767849,7.614889723504335,20.944925103619852,0.35828025477707004,0.08514523224336158,1.0,10,9
158,Player,0.012585581211599361,0.2276278560254707,0.5740448519518986,0.19904458598726113,3.6048482796925806e-17,1.0,6,5
